province,cityname,lon,lat
安徽省,合肥,117.17,31.52
安徽省,安庆,117.02,30.31
安徽省,蚌埠,117.21,32.56
安徽省,毫州,115.47,33.52
安徽省,巢湖,117.52,31.36
安徽省,滁州,118.18,32.18
安徽省,阜阳,115.48,32.54
安徽省,贵池,117.28,30.39
安徽省,淮北,116.47,33.57
安徽省,淮南,116.58,32.37
安徽省,黄山,118.18,29.43
安徽省,界首,115.21,33.15
安徽省,六安,116.28,31.44
安徽省,马鞍山,118.28,31.43
安徽省,明光,117.58,32.47
安徽省,宿州,116.58,33.38
安徽省,天长,118.59,32.41
安徽省,铜陵,117.48,30.56
安徽省,芜湖,118.22,31.19
安徽省,宣州,118.44,30.57
澳门,澳门市,115.07,21.33
北京,北京市,116.24,39.55
福建省,福州,119.18,26.05
福建省,长乐,119.31,25.58
福建省,福安,119.39,27.06
福建省,福清,119.23,25.42
福建省,建瓯,118.2,27.03
福建省,建阳,118.07,27.21
福建省,晋江,118.35,24.49
福建省,龙海,117.48,24.26
福建省,龙岩,117.01,25.06
福建省,南安,118.23,24.57
福建省,南平,118.1,26.38
福建省,宁德,119.31,26.39
福建省,莆田,119.01,24.26
福建省,泉州,118.36,24.56
福建省,三明,117.36,26.13
福建省,邵武,117.29,27.2
福建省,石狮,118.38,24.44
福建省,武夷山,118.02,27.46
福建省,厦门,118.06,24.27
福建省,永安,117.23,25.58
福建省,漳平,117.24,25.17
福建省,漳州,117.39,24.31
甘肃省,兰州,103.51,36.04
甘肃省,白银,104.12,36.33
甘肃省,敦煌,94.41,40.08
甘肃省,嘉峪关,98.14,39.48
甘肃省,金昌,102.1,38.28
甘肃省,酒泉,98.31,39.44
甘肃省,临夏,103.12,35.37
甘肃省,平凉,106.4,35.32
甘肃省,天水,105.42,34.37
甘肃省,武威,102.39,37.56
甘肃省,西峰,107.4,35.45
甘肃省,玉门,97.35,39.49
甘肃省,张掖,100.26,38.35
广东省,广州,113.14,23.08
广东省,潮阳,116.36,23.16
广东省,潮州,116.38,23.4
广东省,澄海,116.46,23.28
广东省,从化,113.33,23.33
广东省,东莞,113.45,23.02
广东省,恩平,112.19,22.12
广东省,佛山,113.06,23.02
广东省,高明,112.5,22.53
广东省,高要,112.26,23.02
广东省,高州,110.5,21.54
广东省,鹤山,112.57,22.46
广东省,河源,114.41,23.43
广东省,花都,113.12,23.23
广东省,化州,110.37,21.39
广东省,惠阳,114.28,22.48
广东省,惠州,114.22,23.05
广东省,江门,113.04,22.35
广东省,揭阳,116.21,22.32
广东省,开平,112.4,22.22
广东省,乐昌,113.21,25.09
广东省,雷州,110.04,20.54
广东省,廉江,110.17,21.37
广东省,连州,112.23,24.48
广东省,罗定,111.33,22.46
广东省,茂名,110.53,21.4
广东省,梅州,116.07,24.19
广东省,南海,113.09,23.01
广东省,番禺,113.22,22.57
广东省,普宁,116.1,23.18
广东省,清远,113.01,23.42
广东省,三水,112.52,23.1
广东省,汕头,116.41,23.22
广东省,汕尾,115.21,22.47
广东省,韶关,113.37,24.48
广东省,深圳,114.07,22.33
广东省,顺德,113.15,22.5
广东省,四会,112.41,23.21
广东省,台山,112.48,22.15
广东省,新会,113.01,22.32
广东省,兴宁,115.43,24.19
广东省,阳春,111.48,22.1
广东省,阳江,111.58,21.5
广东省,英德,113.22,24.1
广东省,云浮,112.02,22.57
广东省,增城,113.48,23.18
广东省,湛江,110.24,21.11
广东省,肇庆,112.27,23.03
广东省,中山,113.22,22.31
广东省,珠海,113.34,22.17
广西自治区,南宁,108.19,22.48
广西自治区,北海,109.07,21.28
广西自治区,北流,110.21,22.42
广西自治区,百色,106.36,23.54
广西自治区,防城港,108.2,21.37
广西自治区,贵港,109.36,23.06
广西自治区,桂林,110.17,25.17
广西自治区,桂平,110.04,23.22
广西自治区,河池,108.03,24.42
广西自治区,合山,108.52,23.47
广西自治区,柳州,109.24,23.19
广西自治区,凭祥,106.44,22.07
广西自治区,钦州,108.37,21.57
广西自治区,梧州,111.2,23.29
广西自治区,玉林,110.09,22.38
广西自治区,宜州,108.4,24.28
贵州省,贵阳,106.42,26.35
贵州省,安顺,105.55,26.14
贵州省,毕节,105.18,27.18
贵州省,赤水,105.42,28.34
贵州省,都匀,107.31,26.15
贵州省,凯里,107.58,26.35
贵州省,六盘水,104.5,26.35
贵州省,清镇,106.27,26.33
贵州省,铜仁,109.12,27.43
贵州省,兴义,104.53,25.02
贵州省,遵义,106.55,27.42
海南省,海口,110.2,20.02
海南省,儋州,109.34,19.31
海南省,琼山,110.21,19.59
海南省,三亚,109.31,18.14
海南省,通什,109.31,18.46
河北省,石家庄,114.3,38.02
河北省,安国,115.2,38.24
河北省,保定,115.3,38.51
河北省,霸州,116.24,39.06
河北省,泊头,116.34,38.04
河北省,沧州,116.52,38.18
河北省,承德,117.57,40.59
河北省,定州,115,38.3
河北省,丰南,118.06,39.34
河北省,高碑店,115.51,39.2
河北省,蒿城,114.5,38.02
河北省,邯郸,114.28,36.36
河北省,河间,116.05,38.26
河北省,衡水,115.42,37.44
河北省,黄骅,117.21,38.21
河北省,晋州,115.02,38.02
河北省,冀州,115.33,37.34
河北省,廓坊,116.42,39.31
河北省,鹿泉,114.19,38.04
河北省,南宫,115.23,37.22
河北省,秦皇岛,119.35,39.55
河北省,任丘,116.07,38.42
河北省,三河,117.04,39.58
河北省,沙河,114.3,36.51
河北省,深州,115.32,38.01
河北省,唐山,118.11,39.36
河北省,武安,114.11,36.42
河北省,邢台,114.3,37.04
河北省,辛集,115.12,37.54
河北省,新乐,114.41,38.2
河北省,张家口,114.53,40.48
河北省,涿州,115.59,39.29
河北省,遵化,117.58,40.11
河南省,郑州,113.4,34.46
河南省,安阳,114.21,36.06
河南省,长葛,113.47,34.12
河南省,登封,113.02,34.27
河南省,邓州,112.05,32.42
河南省,巩义,112.58,34.46
河南省,鹤壁,114.11,35.54
河南省,辉县,113.47,35.27
河南省,焦作,113.12,35.14
河南省,济源,112.35,35.04
河南省,开封,114.21,34.47
河南省,灵宝,110.52,34.31
河南省,林州,113.49,36.03
河南省,漯河,114.02,33.33
河南省,洛阳,112.27,34.41
河南省,南阳,112.32,33
河南省,平顶山,113.17,33.44
河南省,濮阳,115.01,35.44
河南省,沁阳,112.57,35.05
河南省,汝州,112.5,34.09
河南省,三门峡,111.12,34.47
