countryname	lon	lat
上海上海	121.48	31.22
上海嘉定	121.24	31.4
上海宝山	121.48	31.41
上海川沙	121.7	31.19
上海南汇	121.76	31.05
上海奉贤	121.46	30.92
上海松江	121.24	31
上海金山	121.16	30.89
上海青浦	121.1	31.15
上海崇明	121.4	31.73
云南昆明	102.73	25.04
云南富民	102.48	25.21
云南晋宁	102.58	24.68
云南呈贡	102.79	24.9
云南安宁	102.44	24.95
云南昭通	103.7	29.32
云南永善	103.63	28.22
云南大关	103.91	27.74
云南彝良	104.06	27.61
云南鲁甸	103.54	27.21
云南绥江	103.97	28.58
云南盐津	104.28	28.08
云南威信	105.05	27.85
云南镇雄	104.86	27.42
云南巧家	102.92	26.9
云南永富	104.38	28.62
云南曲靖	103.79	25.51
云南宣威	104.09	26.24
云南富源	104.24	25.67
云南师宗	103.97	24.85
云南嵩明	103.03	25.35
云南会泽	103.27	26.41
云南沽益	103.82	25.62
云南罗平	104.3	24.88
云南陆良	104.64	25.04
云南宜良	103.12	24.9
云南马龙	103.61	25.41
云南路南	103.24	24.77
云南寻甸	103.25	25.56
云南玉溪	102.52	24.35
云南华宁	102.93	24.26
云南通海	102.75	24.09
云南澄江	102.91	24.68
云南江川	102.73	24.27
云南易门	102.15	24.67
云南元江	102	23.59
云南新平	101.98	24.06
云南峨山	102.38	24.16
云南思茅	101	22.79
云南普洱	101.03	23.07
云南镇沅	100.88	23.9
云南景东	100.82	24.42
云南景谷	100.71	23.5
云南黑江	101.71	23.4
云南澜沦	99.97	22.55
云南西盟	99.47	22.73
云南江城	101.88	22.58
云南孟连	99.55	22.32
云南临沦	100.09	23.88
云南云县	100.12	24.44
云南镇康	99.02	23.92
云南永德	99.25	24.03
云南凤庆	99.92	24.58
云南双江	99.85	23.45
云南沧源	99.24	23.15
云南耿马	99.41	23.56
云南保由	99.18	25.12
云南施甸	99.15	24.69
云南腾冲	98.51	25.01
云南昌宁	99.61	24.82
云南龙陵	98.7	24.58
云南丽江	100.25	26.86
云南华坪	101.24	26.63
云南永胜	100.76	26.71
云南宁蒗	100.82	27.29
云南文山	104.24	23.37
云南广南	105.09	24.05
云南西畴	104.68	23.42
云南麻栗坡	104.71	23.12
云南马关	104.4	23.01
云南丘北	104.19	24.03
云南砚山	104.35	23.62
云南富宁	105.6	23.62
云南个旧	102.43	23.35
云南弥勒	103.43	24.41
云南蒙自	103.41	23.36
云南元阳	102.81	23.17
云南红河	102.42	23.35
云南石屏	102.48	23.73
云南泸西	103.76	24.52
云南金平	103.24	22.77
云南开远	103.23	23.7
云南绿春	102.42	23.01
云南建水	102.79	23.64
云南河口	103.98	22.52
云南屏边	103.67	22.68
云南景淇	100.79	22
云南勐海	100.5	21.95
云南勐腊	101.56	21.48
云南楚雄	101.54	25.01
云南元谋	101.85	25.7
云南武定	102.36	25.55
云南禄丰	102.08	25.15
云南南华	101.26	25.21
云南大姚	101.34	25.73
云南永仁	101.7	26.07
云南禄劝	102.45	25.58
云南牟定	101.58	25.32
云南双柏	101.67	24.68
云南姚安	101.24	25.4
云南下关	100.24	25.45
云南剑川	99.88	26.53
云南洱源	99.94	26.1
云南宾川	100.55	25.82
云南弥渡	100.52	25.34
云南永平	99.52	25.45
云南鹤庆	100.18	26.55
云南大理	100.19	25.69
云南漾濞	99.98	25.68
云南云龙	99.39	25.9
云南祥云	100.56	25.48
云南巍山	100.33	25.23
云南南涧	100.51	25.04
云南潞西	98.6	24.41
云南陇川	97.96	24.33
云南盈江	97.93	24.69
云南畹町	98.08	24.08
云南瑞丽	97.83	24
云南梁河	98.3	24.78
云南泸水	98.82	25.97
云南碧江	98.95	26.55
云南福贡	98.92	26.89
云南兰坪	99.29	26.49
云南贡山	98.65	27.73
云南中甸	99.72	27.78
云南德钦	98.93	28.49
云南维西	99.27	27.15
其它岛屿钓鱼岛	123.33	25
其它岛屿黄岩岛	117.51	15.07
内蒙古呼和浩特	111.65	40.82
内蒙古上默特左旗	111.13	40.72
内蒙古托克托	111.15	40.28
内蒙古包头	110	40.58
内蒙古上默特右旗	110.52	40.55
内蒙古固阳	110.03	41.03
内蒙古乌海	106.82	39.67
内蒙古集宁	113.08	41.03
内蒙古兴和	113.97	40.88
内蒙古清水河	111.65	39.92
内蒙古武川	111.42	41.12
内蒙古卓资	112.52	40.93
内蒙古商都	113.53	41.58
内蒙古丰镇	113.15	40.45
内蒙古凉城	112.48	40.52
内蒙古和林格尔	111.8	40.4
内蒙古化德	114	41.9
内蒙古四子王旗	111.68	41.37
内蒙古二连浩特	111.96	43.65
内蒙古阿巴哈纳尔旗	116.08	43.95
内蒙古多伦	116.48	42.18
内蒙古阿巴嘎旗	114.97	44.03
内蒙古西乌珠穆沁旗	117.58	44.6
内蒙古东乌珠穆沁旗	116.97	45.53
内蒙古苏尼特左旗	113.7	43.85
内蒙古苏尼特右旗	112.95	42.47
内蒙古太仆寺旗	115.3	41.9
内蒙古正镶白旗	115	42.32
内蒙古正蓝旗	116.02	42.25
内蒙古镶黄旗	113.83	42.25
内蒙古海拉尔	119.73	29.22
内蒙古满洲里	117.47	49.58
内蒙古陈巴尔虎旗	119.45	49.33
内蒙古额尔古纳右旗	120.08	50.45
内蒙古额尔古纳左旗	121.52	50.8
内蒙古喜桂图旗	120.73	49.3
内蒙古阿荣旗	123.5	48.13
内蒙古布特哈旗	122.78	47.98
内蒙古新巴尔虎左旗	116.82	48.67
内蒙古新巴尔虎右旗	118.23	48.22
内蒙古鄂伦春自治旗	123.7	50.58
内蒙古通辽	122.28	43.63
内蒙古开鲁	121.32	43.62
内蒙古库伦旗	121.75	42.72
内蒙古奈曼旗	120.65	42.85
内蒙古扎鲁特旗	120.87	44.55
内蒙古赤峰	118.87	42.28
内蒙古宁城	119.32	41.62
内蒙古林西	118.02	43.62
内蒙古喀喇沁旗	118.67	41.95
内蒙古敖汉旗	119.87	42.3
内蒙古翁牛特旗	119	42.97
内蒙古巴林右旗	118.65	43.52
内蒙古巴林左旗	119.35	43.98
内蒙古阿鲁科尔沁旗	120.05	43.97
内蒙古克什克腾旗	117.48	43.28
内蒙古伊克昭盟	110	39.83
内蒙古东胜县	110	39.83
内蒙古准格尔旗	111.13	39.68
内蒙古乌审旗	109.03	38.38
内蒙古伊金霍洛旗	109.77	39.25
内蒙古鄂托克旗	107.97	39.12
内蒙古鄂托克前旗	107.43	38.18
内蒙古杭锦旗	108.7	39.83
内蒙古达拉特旗	110.02	40.42
内蒙古临河	107.37	40.78
内蒙古五原	108.28	41.12
内蒙古磴口	106.98	40.33
内蒙古杭锦后旗	107.12	40.88
内蒙古乌拉特中旗	108.52	41.55
内蒙古乌拉特前旗	108.65	40.75
